# Guess for Rs	Radial constraint	Angular constraint
1.53848e+07	-108695	5.86434e+09
1.54203e+07	-108445	5.8508e+09
1.54557e+07	-108196	5.83733e+09
1.54912e+07	-107948	5.82392e+09
1.55266e+07	-107702	5.81058e+09
1.5562e+07	-107457	5.79729e+09
1.55975e+07	-107212	5.78406e+09
1.56329e+07	-106969	5.7709e+09
1.56684e+07	-106727	5.75779e+09
1.57038e+07	-106486	5.74475e+09
1.57393e+07	-106247	5.73176e+09
1.57747e+07	-106008	5.71883e+09
1.58102e+07	-105770	5.70596e+09
1.58456e+07	-105533	5.69315e+09
1.58811e+07	-105298	5.68039e+09
1.59165e+07	-105063	5.66769e+09
1.5952e+07	-104830	5.65505e+09
1.59874e+07	-104597	5.64247e+09
1.60229e+07	-104366	5.62994e+09
1.60583e+07	-104136	5.61746e+09
1.60938e+07	-103906	5.60504e+09
1.61292e+07	-103678	5.59268e+09
1.61647e+07	-103451	5.58037e+09
1.62001e+07	-103224	5.56812e+09
1.62356e+07	-102999	5.55591e+09
1.6271e+07	-102774	5.54377e+09
1.63065e+07	-102551	5.53167e+09
1.63419e+07	-102329	5.51963e+09
1.63774e+07	-102107	5.50764e+09
1.64128e+07	-101887	5.4957e+09
1.64483e+07	-101667	5.48381e+09
1.64837e+07	-101448	5.47198e+09
1.65192e+07	-101231	5.46019e+09
1.65546e+07	-101014	5.44846e+09
1.65901e+07	-100798	5.43677e+09
1.66255e+07	-100583	5.42514e+09
1.6661e+07	-100369	5.41356e+09
1.66964e+07	-100156	5.40202e+09
1.67319e+07	-99943.8	5.39054e+09
1.67673e+07	-99732.5	5.3791e+09
1.68028e+07	-99522.1	5.36771e+09
1.68382e+07	-99312.6	5.35637e+09
1.68737e+07	-99103.9	5.34508e+09
1.69091e+07	-98896.2	5.33383e+09
1.69446e+07	-98689.3	5.32264e+09
1.698e+07	-98483.2	5.31149e+09
1.70155e+07	-98278.1	5.30038e+09
1.70509e+07	-98073.7	5.28932e+09
1.70863e+07	-97870.3	5.27831e+09
1.71218e+07	-97667.6	5.26735e+09
1.71572e+07	-97465.8	5.25643e+09
1.71927e+07	-97264.9	5.24555e+09
1.72281e+07	-97064.8	5.23472e+09
1.72636e+07	-96865.4	5.22394e+09
1.7299e+07	-96666.9	5.21319e+09
1.73345e+07	-96469.3	5.2025e+09
1.73699e+07	-96272.4	5.19184e+09
1.74054e+07	-96076.3	5.18123e+09
1.74408e+07	-95881	5.17067e+09
1.74763e+07	-95686.5	5.16014e+09
1.75117e+07	-95492.9	5.14966e+09
1.75472e+07	-95299.9	5.13922e+09
1.75826e+07	-95107.8	5.12883e+09
1.76181e+07	-94916.4	5.11847e+09
1.76535e+07	-94725.8	5.10816e+09
1.7689e+07	-94536	5.09789e+09
1.77244e+07	-94346.9	5.08766e+09
1.77599e+07	-94158.6	5.07747e+09
1.77953e+07	-93971.1	5.06732e+09
1.78308e+07	-93784.2	5.05721e+09
1.78662e+07	-93598.2	5.04715e+09
1.79017e+07	-93412.8	5.03712e+09
1.79371e+07	-93228.2	5.02713e+09
1.79726e+07	-93044.3	5.01718e+09
1.8008e+07	-92861.2	5.00728e+09
1.80435e+07	-92678.7	4.99741e+09
1.80789e+07	-92497	4.98757e+09
1.81144e+07	-92316	4.97778e+09
1.81498e+07	-92135.7	4.96803e+09
1.81853e+07	-91956.1	4.95831e+09
1.82207e+07	-91777.2	4.94863e+09
1.82562e+07	-91599	4.93899e+09
1.82916e+07	-91421.5	4.92939e+09
1.83271e+07	-91244.6	4.91983e+09
1.83625e+07	-91068.5	4.9103e+09
1.8398e+07	-90893	4.90081e+09
1.84334e+07	-90718.2	4.89135e+09
1.84689e+07	-90544.1	4.88193e+09
1.85043e+07	-90370.6	4.87255e+09
1.85398e+07	-90197.8	4.8632e+09
1.85752e+07	-90025.7	4.85389e+09
1.86107e+07	-89854.2	4.84462e+09
1.86461e+07	-89683.4	4.83538e+09
1.86815e+07	-89513.2	4.82618e+09
1.8717e+07	-89343.7	4.81701e+09
1.87524e+07	-89174.8	4.80787e+09
1.87879e+07	-89006.5	4.79877e+09
1.88233e+07	-88838.9	4.78971e+09
1.88588e+07	-88671.9	4.78067e+09
1.88942e+07	-88505.6	4.77168e+09
1.89297e+07	-88339.8	4.76271e+09
1.89651e+07	-88174.7	4.75378e+09
1.90006e+07	-88010.2	4.74489e+09
1.9036e+07	-87846.3	4.73602e+09
1.90715e+07	-87683	4.72719e+09
1.91069e+07	-87520.4	4.7184e+09
1.91424e+07	-87358.3	4.70963e+09
1.91778e+07	-87196.8	4.7009e+09
